Category,Name,Link
SOP,Authoring ASCT+B Tables,https://doi.org/10.5281/zenodo.5746152
SOP,Construction of Organ Mapping Antibody Panels (OMAPs),https://doi.org/10.5281/zenodo.5749882
GitHub,FAQ: Constructing OMAPs,https://hubmapconsortium.github.io/ccf/pages/omap-faq.html
SOP,ASCT+B Table Communications,https://doi.org/10.5281/zenodo.5639622
VHMOOC,Ontologies 101,https://iu.instructure.com/courses/1888216/pages/7-ontologies-101
VHMOOC,"Anatomical Structures, Cell Types, and Biomarkers (ASCT+B) Tables",https://iu.instructure.com/courses/1888216/pages/8-anatomical-structures-cell-types-and-biomarkers-asct+b-tables 
